predictor,NAs
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,15
12,2419
13,336778
14,352494
15,352766
16,352770
17,828
18,346257
19,352666
20,352776
21,352776
22,0
23,0
24,1510
25,332875
26,351598
27,352628
28,352730
29,478
30,343123
31,352286
32,352725
33,352764
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,842
42,0
43,186662
44,20197
45,0
46,0
47,0
48,0
49,352777
50,333131
51,12072
52,365
53,329061
54,0
55,0
56,0
57,0
58,4916
59,0
60,0
61,0
62,351831
63,0
64,0
65,0
66,298176
67,307201
68,352777
69,352777
70,0
71,0
72,0
